cntr	ra	dec
1201089401351034619	90.052499	-89.1762831
1201089401351034777	93.8781336	-89.1762828
1201089401351033766	104.0349105	-89.1762808
89401351043247	2.8700685	-89.1762743
89401351043731	355.8491559	-89.1762729
89401351028164	15.0433467	-89.1739817
2403089401351029404	256.6338031	-89.1739758
1802089401351045539	179.8892941	-89.1739724
89401351044530	4.8554761	-89.1739723
2403089401351043542	236.0726453	-89.1739626
1201089401351033883	97.2032429	-89.1698411
89401351043524	6.7412137	-89.1698396
1201089401351032734	94.385864	-89.1698283
1201089401351043939	120.9505669	-89.1698203
600089401351043657	65.9493732	-89.1698122
89401351045700	355.4880396	-89.1568776
600089401351043099	52.0510921	-89.1568763
3004089401351047474	315.7339755	-89.156876
89401351041708	343.0917543	-89.1568602
3004089401351047275	311.7777509	-89.1568586
3004089401351040584	285.9712629	-89.1425083
1802089401351028933	207.9272896	-89.1424871
89401351034214	336.9517681	-89.1424633
3004089401351043281	306.6047259	-89.1424597
600089401351043136	57.0418391	-89.1424164
1201089401351047579	137.7106616	-89.0911931
600089401351046460	74.1510907	-89.0911762
1201089401351041474	94.7233598	-89.0911677
2403089401351043154	219.6466286	-89.0911652
3004089401351044386	308.8872492	-89.0911337
1802089401351041166	158.9132461	-89.0833958
600089401351048022	84.5124199	-89.0833872
600089401351047405	78.0315315	-89.0833855
3004089401351043435	298.1948347	-89.083384
600089401351040603	42.0506647	-89.0833809
89401351046568	18.1473792	-89.0327201
1802089401351044743	183.0306283	-89.0327171
1802089401351041058	169.7507177	-89.0327046
1201089401351041516	99.4562254	-89.0327042
1802089401351041525	156.7442678	-89.0326843
3004089401351046953	316.5176131	-89.0230173
2403089401351037257	189.6676584	-89.0230034
2403089401351044849	244.3340138	-89.0230033
1201089401351043271	117.0457782	-89.0229906
1802089401351046062	203.8112194	-89.0229904
1201089401351040452	103.7130768	-89.0112017
2403089401351050293	274.4055734	-89.0111944
1201089401351045678	136.1926667	-89.0111801
600089401351041264	35.9633949	-89.0111714
2403089401351047591	264.3728813	-89.011162
2403089401351042496	219.4202679	-88.9960402
89401351046933	11.0141509	-88.996033
89401351043315	7.9171584	-88.9960312
3004089401351043774	308.3075839	-88.9960296
600089401351040277	39.8284703	-88.996029
600089401351040739	44.0859882	-88.9906863
2403089401351041349	215.8498881	-88.9906859
89401351045781	13.2420998	-88.9906774
3004089401351046093	309.809545	-88.9906745
89401351041190	344.738214	-88.9906643
1201089401351041861	102.9276764	-88.9656698
89401351041143	344.749169	-88.9656427
1802089401351044160	175.0869376	-88.9656189
600089401351043790	56.0862852	-88.9656125
600089401351049120	87.5999627	-88.9656067
3004089401351043349	298.6216763	-88.9638039
89401351045888	19.121173	-88.9637983
600089401351044358	58.0507241	-88.963796
2403089401351049748	268.778639	-88.9637933
1802089401351046987	194.5747925	-88.9637777
89401351042484	336.5669839	-88.9548528
1802089401351046560	200.67466	-88.9548501
1201089401351042021	98.8887928	-88.9548022
1802089401351049729	209.7382822	-88.9547998
1201089401351037082	79.2583385	-88.9547852
1802089401351041998	162.6175158	-88.9531102
89401351046474	9.9739944	-88.9531061
1802089401351041941	159.3962779	-88.9530984
1802089401351041805	164.5056689	-88.9530812
600089401351043440	63.9564328	-88.9530774
89401351041334	340.2133852	-88.9460502
1201089401351046514	134.1669121	-88.9460355
1802089401351042495	164.2720825	-88.9460348
1201089401351046042	130.8931692	-88.9460302
1201089401351046632	135.7251458	-88.9460204
2403089401351049843	269.4537924	-88.9389807
1802089401351047415	205.3399617	-88.9389751
1802089401351041102	163.6344261	-88.938974
1201089401351040685	96.2261573	-88.938972
600089401351045087	68.1648882	-88.9389652
1802089401351040969	163.1133153	-88.9323882
3004089401351046262	315.4819388	-88.9323849
89401351047859	9.6825036	-88.9323713
600089401351043737	61.7339966	-88.9323569
3004089401351045872	309.0114479	-88.9323569
2403089401351043768	241.0736154	-88.9173742
2403089401351041095	220.8158455	-88.917369
1802089401351046731	201.1955154	-88.9173597
89401351047410	24.927408	-88.9173578
1802089401351045062	185.031682	-88.9173487
600089401351043430	61.9392997	-88.9073646
1802089401351042767	165.1592447	-88.9073555
2403089401351039521	214.3651107	-88.9073516
2403089401351042202	215.1174904	-88.907346
600089401351043054	53.173254	-88.9073437
1802089401351043231	157.4650404	-88.9039794
89401351047164	19.2471916	-88.9039662
600089401351049735	86.4040018	-88.9039624
89401351046326	24.6134306	-88.9039608
1201089401351045779	141.9143724	-88.9039586
3004089401351049215	328.6115523	-88.8969978
1201089401351042852	114.5589581	-88.8969932
2403089401351046647	252.6443284	-88.8969914
600089401351040408	39.3582135	-88.8969684
1201089401351048322	148.9039065	-88.8969597
